imdb_id,movie_name,genre,cast
tt2905838,Bang Bang,"Action, Adventure, Comedy","Hrithik Roshan, Katrina Kaif, Pawan Malhotra, Danny Denzongpa"
tt0222012,Hey Ram,"Crime, Drama, History","Kamal Haasan, Shah Rukh Khan, Rani Mukerji, Hema Malini"
tt7518786,83,"Biography, Drama, History","Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin, Jiiva"
tt15516726,Selfiee,"Action, Comedy, Drama","Akshay Kumar, Mrunal Thakur, Nushrratt Bharuccha, Emraan Hashmi"
tt0420332,Veer-Zaara,"Drama, Family, Musical","Shah Rukh Khan, Preity G Zinta, Rani Mukerji, Kirron Kher"
tt2215477,Goliyon Ki Rasleela Ram-Leela,"Drama, Musical, Romance","Ranveer Singh, Deepika Padukone, Supriya Pathak, Sharad Kelkar"
tt5970844,Thugs of Hindostan,"Action, Adventure","Aamir Khan, Amitabh Bachchan, Lloyd Owen, Katrina Kaif"
tt15680228,Bheed,"Drama, History","Rajkummar Rao, Pankaj Kapur, Bhumi Pednekar, Aditya Srivastav"
tt0449999,Kabhi Alvida Naa Kehna,"Drama, Romance","Shah Rukh Khan, Rani Mukerji, Amitabh Bachchan, Abhishek Bachchan"
tt11934846,Badhaai Do,"Comedy, Crime, Drama","Rajkummar Rao, Bhumi Pednekar, Chum Darang, Sheeba Chaddha"
tt27124947,Prem Ki Shaadi,"Drama, Romance","Salman Khan, Keerthy Suresh, Kriti Kharbanda, Parineeti Chopra"
tt10230404,Ghost Stories,"Horror, Thriller","Janhvi Kapoor, Surekha Sikri, Amruta Subhash, Vijay Varma"
tt16539454,Pushpa: The Rule - Part 2,"Action, Crime, Drama","Allu Arjun, Sunil, Fahadh Faasil, Rashmika Mandanna"
tt12357758,Climax,"Action, Horror, Thriller","Mia Malkova, Mourmi, Renan Severo"
tt8108202,Stree,"Comedy, Horror","Ashish Chhipa, Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi"
tt0265343,Monsoon Wedding,"Comedy, Drama, Romance","Naseeruddin Shah, Lillete Dubey, Shefali Shah, Vijay Raaz"
